Name & Organization,Attachments,Document Title,Description,Technical Area,Indicator,Document Type,Author,Publication Date,WHO-Approved Doc: Check here if this document peer reviewed or from the WHO or CDC,Status,Relevant Pages,Lead Approval Req: Check here if this document requires approval from another lead agency,Thumbnail Image
"Kayode Fasominu, RTSL",2- Assessment tool for laboratories implementing SARS-CoV-2 testing-WHO-2019-nCoV-Lab_Assessment_Tool-2020_2-eng.pdf (https://dl.airtable.com/.attachments/84f555d98648a4c1f89436981bd44858/82d4e001/2-AssessmenttoolforlaboratoriesimplementingSARS-CoV-2testing-WHO-2019-nCoV-Lab_Assessment_Tool-2020_2-eng.pdf),Assessment tool for laboratories implementing SARS-CoV-2 testing,"This tool has been designed to assess the capacity of laboratories that have implemented or intend to implement testing for SARS-CoV-2, the virus that causes coronavirus disease (COVID-19). The tool is a shortened version of the 2012 Laboratory assessment tool that is widely used to assess national laboratory systems and the capacity of laboratories.",National Laboratory System,"""7.4 Implement a system of inspecting and licensing laboratories, including using local adaptations of international standards
and norms and obtaining required funding and human resources."",""7.4 Establish a quality assessment programme for national or central laboratories for diagnostics of diseases with epidemic
potential.""",Guideline,World Health Organization,2020,checked,,All,checked,
"Kayode Fasominu, RTSL",3- Brief- Advice on the use of point-of-care immunodiagnostic tests for COVID-19-WHO-2019-nCoV-Sci_Brief-POC_immunodiagnostics-2020_1-eng.pdf (https://dl.airtable.com/.attachments/546ac818d1883e5ab920faf7486118cb/edb418cb/3-Brief-Adviceontheuseofpoint-of-careimmunodiagnostictestsforCOVID-19-WHO-2019-nCoV-Sci_Brief-POC_immunodiagnostics-2020_1-eng.pdf),Advice on the use of point-of-care immunodiagnostic tests for COVID-19,This brief gives advice and recommendations from WHO on the use of point-of-care immunodiagnostic tests for COVID-19,National Laboratory System,7.1 Define 10 core tests based on the priority diseases list (link this with the surveillance benchmark).,Briefing Note,World Health Organization,2020,checked,,All,checked,
"Kayode Fasominu, RTSL",6- FORM-SHIPING-Worldcourier-Shipment booking form for COVID-19 clinical samples – version 2 03-0-2020)-20200311booking-form-2019-ncov.pdf (https://dl.airtable.com/.attachments/c54af853309a7d29c309054dea4106e2/58bfed47/6-FORM-SHIPING-Worldcourier-ShipmentbookingformforCOVID-19clinicalsamplesversion203-0-2020-20200311booking-form-2019-ncov.pdf),Shipment booking form for COVID-19 clinical samples,WHO is working with World Courier to make easy the process of sample shipment to reference laboratories for COVID-19 testing. This form is therefore used to book a shipment of COVID-19 samples through world courier,National Laboratory System,"""7.2 Establish a mechanism to ensure transportation of specimens from at least 80% of all health facilities to national
laboratories covering all geographic areas of the country.""",Template,World Courier,2020,,,All,checked,
Kayode Fasominu,7- Guidance Diagnostic testing for SARS-CoV-2-WHO-2019-nCoV-laboratory-2020_6-eng.pdf (https://dl.airtable.com/.attachments/a25522e71c7a82a049c0f1dd759fde4c/6557a209/7-GuidanceDiagnostictestingforSARS-CoV-2-WHO-2019-nCoV-laboratory-2020_6-eng.pdf),Diagnostic testing for SARS-CoV-2,"This document provides interim guidance to laboratories and other stakeholders involved in diagnostics for severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). It covers the main considerations for specimen collection, nucleic acid amplification testing (NAAT), antigen (Ag), antibody (Ab) detection and quality assurance. This document will be updated as new information becomes available. Feedback can be sent to WHElab@who.int",National Laboratory System,7.1 Define 10 core tests based on the priority diseases list (link this with the surveillance benchmark).,Guideline,World Health Organization,2020,checked,,All,checked,
Kayode Fasominu,8- Guidance for laboratories shipping specimens to WHO reference laboratories that provide confirmatory testing for COVID-19 virus-2020_3-eng.pdf (https://dl.airtable.com/.attachments/e0a1f68f00e8408e0c8f1f8a4934c654/a4f4c5f3/8-GuidanceforlaboratoriesshippingspecimenstoWHOreferencelaboratoriesthatprovideconfirmatorytestingforCOVID-19virus-2020_3-eng.pdf),Guidance for laboratories shipping specimens to WHO reference laboratories that provide confirmatory testing for COVID-19 virus,"In this document, WHO outlined the instructions about the shipment mechanism to expedite and cover the costs of the shipment of clinical samples from patients with suspected COVID-19 from the country of collection to one of the WHO reference laboratories providing confirmatory molecular testing for COVID-19.",National Laboratory System,"""7.2 Develop SOPs (as part of disease outbreak investigation protocols) for specimen collection, management and
transportation and share with all levels.""",Guideline,World Health Organization,2020,checked,,All,,
Kayode Fasominu,9- Guidance- Laboratory biosafety guidance related to coronavirus disease (COVID-19)-WHO-WPE-GIH-2020_3-eng.pdf (https://dl.airtable.com/.attachments/ce0a07f0a69b13ef1e4c62db098746c7/e8a9fe61/9-Guidance-LaboratorybiosafetyguidancerelatedtocoronavirusdiseaseCOVID-19-WHO-WPE-GIH-2020_3-eng.pdf),Laboratory biosafety guidance related to coronavirus disease (COVID-19),The purpose of this document is to provide interim guidance on laboratory biosafety related to the testing of clinical specimens of patients that meet the case definition of coronavirus disease (COVID-19). This version is an update to the interim guidance adding recommendations on point of care (POC) or near-POC assays,Biosafety and Biosecurity,"""8.2 Train and oversight facilities that are housing or working with dangerous pathogens and toxins to comply with biosafety and
biosecurity rules and regulations.""",Guideline,World Health Organization,2020,checked,,All,checked,
Kayode Fasominu,10- GUIDANCE- Laboratory testing for 2019 novel coronavirus (2019-nCoV) in suspected human cases-9789240000971-eng.pdf (https://dl.airtable.com/.attachments/3aa4cf2fc905d90031e02b425f7658a1/c20d14ec/10-GUIDANCE-Laboratorytestingfor2019novelcoronavirus2019-nCoVinsuspectedhumancases-9789240000971-eng.pdf),Laboratory testing for 2019 novel coronavirus (2019-nCoV) in suspected human cases,"The purpose of this document is to provide interim guidance to laboratories and stakeholders involved in laboratory testing of patients who meet the definition of suspected case of pneumonia associated with a novel coronavirus identified in Wuhan, China",National Laboratory System,7.1 Define 10 core tests based on the priority diseases list (link this with the surveillance benchmark).,Guideline,World Health Organization,2020,checked,,All,checked,
Kayode Fasominu,11- GUIDANCE- Laboratory testing strategy recommendations for COVID-19-WHO-COVID-19-lab_testing-2020_1-eng.pdf (https://dl.airtable.com/.attachments/49ad3736d7716eaf49298a303cef4db0/8842c7e5/11-GUIDANCE-LaboratorytestingstrategyrecommendationsforCOVID-19-WHO-COVID-19-lab_testing-2020_1-eng.pdf),Laboratory testing strategy recommendations for COVID-19,"This document provides guidance to policy makers and laboratories on testing strategies for each of these four scenarios, including the scenario in which testing can be performed only on a limited number of patients",National Laboratory System,7.1 Define 10 core tests based on the priority diseases list (link this with the surveillance benchmark).,Guideline,World Health Organization,2020,checked,,All,checked,
Kayode Fasominu,12- GUIDANCE-Laboratory testing for coronavirus disease-WHO-COVID-19-laboratory-2020_5-eng.pdf (https://dl.airtable.com/.attachments/1c51cc235480a9de14d0874c5c08fce4/3828d111/12-GUIDANCE-Laboratorytestingforcoronavirusdisease-WHO-COVID-19-laboratory-2020_5-eng.pdf),Laboratory testing for coronavirus disease (COVID-19) in suspected human cases,"This document provides interim guidance to laboratories and stakeholders involved in COVID-19 virus laboratory testing of patients. It is based in part on the interim guidance on laboratory testing for Middle East Respiratory Syndrome (MERS) coronavirus.1-6 Information on human infection with the COVID-19 virus is evolving and WHO continues to monitor developments and revise recommendations, as necessary. ",National Laboratory System,7.1 Define 10 core tests based on the priority diseases list (link this with the surveillance benchmark).,Guideline,World Health Organization,2020,checked,,All,checked,
Kayode Fasominu,14- PROTOCOLS-COVID-19-MOLECULAR TESTING-Summary table of available protocols in this document-whoinhouseassays.pdf (https://dl.airtable.com/.attachments/932b153183e94fa45d0a87885bb55889/b6a36cee/14-PROTOCOLS-COVID-19-MOLECULARTESTING-Summarytableofavailableprotocolsinthisdocument-whoinhouseassays.pdf),COVID-19 Molecular Testing Protocols,This document provides the key available protocols for COVID-19 molecular testing,National Laboratory System,"7.1 Define 10 core tests based on the priority diseases list (link this with the surveillance benchmark).,""7.1 Develop and disseminate testing SOPs and quality control SOPs for all core tests for priority diseases; and establish supply
and procurement chains.""",Guideline,World Health Organization,2020,,,All,checked,
Kayode Fasominu,15- Target product profiles for priority diagnostics to support response to the COVID-19 pandemic v_1_0.pdf (https://dl.airtable.com/.attachments/383dad06761a3ce488d485e28a600535/694fc740/15-TargetproductprofilesforprioritydiagnosticstosupportresponsetotheCOVID-19pandemicv_1_0.pdf),Target product profiles for priority diagnostics to support response to the COVID-19 pandemic v.1.0,The target audience are all those working to evaluate assays for COVID-19 or to develop new assays for COVID-19. The document is also aimed at those developing COVID-19 assays that have not yet reached the clinical testing phase. This document is relevant to those groups who wish to obtain WHO policy recommendations for use and WHO prequalification for their products.,National Laboratory System,"""7.1 Assess the capacity and essential functioning of target human and animal health laboratories to meet diagnostic and
confirmatory requirements for priority diseases.""",Manual,World Health Organization,2020,checked,,All,checked,
